id,name
393,civil war
276,philadelphia
3177,fan
90,paris
90,paris
963,loss of brother
582,san francisco
428,nurse
416,miami
131,italy
246,dancing
441,assassination
242,new york
520,chicago
90,paris
128,love triangle
582,san francisco
4344,musical
380,brother brother relationship
588,rome
6783,orphanage
4344,musical
616,witch
314,life and death
2136,television
613,new year's eve
736,journalist
305,moon
5774,forest
931,jealousy
515,women
660,monte carlo
441,assassination
351,poison
1453,amnesia
5918,painting
612,hotel
6038,marriage
33681,top hat
90,paris
612,hotel
90,paris
10325,mistaken identity
1522,repayment
232481,zorro
703,detective
658,sea
3800,airplane
110,venice
128,love triangle
1295,europe
612,hotel
30,individual
703,detective
236,suicide
279,usa
65,holiday
417,corruption
378,prison
2676,honeymoon
154802,silent film
163070,burlesque
828,waitress
290,angel
392,england
703,detective
417,corruption
188901,quaker
212,london england
131,italy
798,sheriff
1155,brother sister relationship
409,africa
131,italy
30,individual
90,paris
159201,baseball player
931,jealousy
4344,musical
703,detective
10183,independent film
1415,small town
237,gay
4552,beer
936,loss of mother
246,dancing
10229,singer
236,suicide
2281,mistake in person
393,civil war
2486,fantasy
1508,new mexico
1416,jazz
947,prohibition
5562,fish market
641,single parent
703,detective
416,miami
242,new york
4289,secret agent
3616,college
529,ku klux klan
156017,frontiersman
5034,attempt to escape
830,car race
582,san francisco
2752,ranch
9758,deception
9713,friends
818,based on novel
2343,magic
2005,tree house
977,cat
269,diving
1442,winter
1480,baseball
818,based on novel
193143,winnie the pooh
9977,part live action
3971,könig arthur
392,england
212,london england
291,circus
4932,farm
334,flying
977,cat
818,based on novel
378,prison
836,resistance
720,helicopter
1566,dream
582,san francisco
187056,woman director
258,bomb
212,london england
3490,pop star
966,beach
90,paris
1946,restaurant
212,london england
441,assassination
409,africa
497,shakespeare
1010,bar
642,robbery
521,washington d.c.
90,paris
572,sex
497,shakespeare
10183,independent film
516,child abuse
1930,kidnapping
10183,independent film
4344,musical
155440,hitchcockian
4118,ballet dancer
4344,musical
6092,army
703,detective
185077,macao
334,flying
715,chocolate
392,england
572,sex
2020,revolution
642,robbery
186,christianity
2311,cabaret
6078,politics
9253,slapstick
502,ambush
658,sea
212,london england
4344,musical
246,dancing
2052,traitor
1505,famous score
966,beach
246,dancing
458,hippie
108,transvestism
642,robbery
242,new york
455,farewell
65,holiday
6315,stock-car-race
725,lovesickness
10332,salesman
30,individual
531,southern usa
798,sheriff
4478,leopard
3126,ant
642,robbery
3658,career
236,suicide
4573,down syndrome
33457,alcoholic
351,poison
567,alcohol
15134,election
5153,son
642,robbery
3321,childhood memory
270,ocean
530,prophecy
444,taxi
4924,insane asylum
1649,provence
1649,provence
185722,based on true events
90,paris
113,holy grail
10768,lesbian
5565,biography
9730,crime boss
3522,snowboarding
240,underdog
642,robbery
254,france
490,philosophy
378,prison
1568,undercover
6139,innocence
163072,embezzlement
74,germany
1025,great britain
10267,comedy
2957,vietnam war
187056,woman director
3202,con man
12564,werewolf
187056,woman director
1399,senate
629,sicily
1650,cook
1252,suicide attempt
2446,krakow
131,italy
74,germany
3202,con man
10183,independent film
549,prostitute
487,cairo
1956,world war ii
2425,bodily disabled person
459,sexual obsession
2564,wheelchair
494,father son relationship
378,prison
1664,eroticism
108,transvestism
30,individual
919,smoking
526,rebel
157186,swashbuckler
83,saving the world
211,bureaucracy
803,android
801,bounty hunter
1439,flat
934,judge
487,cairo
378,prison
577,black people
1008,guerrilla
797,showdown
526,rebel
220,berlin
1201,austria
378,prison
803,android
530,prophecy
131,italy
441,assassination
1741,blindness and impaired vision
612,hotel
246,dancing
700,italo-american
236,suicide
305,moon
497,shakespeare
131,italy
2792,boxer
314,life and death
396,transporter
2398,narration
2106,cold war
4896,wish
321,terror
520,chicago
236,suicide
10183,independent film
316,chess
388,scotland
83,saving the world
351,poison
6091,war
497,shakespeare
242,new york
417,corruption
30,individual
3182,seduction
612,hotel
1308,secret identity
233,japan
30,individual
570,rape
1612,spacecraft
534,mexico
2658,new zealand
407,dictator
1339,duck
612,hotel
818,based on novel
74,germany
7946,deer
818,based on novel
422,vietnam veteran
90,paris
563,deja vu
549,prostitute
840,usa president
236,suicide
351,poison
389,clock tower
531,southern usa
1402,general
378,prison
83,saving the world
242,new york
378,prison
1605,new love
1706,experiment
90,paris
271,competition
74,germany
3537,orchestra
75,gunslinger
351,poison
236,suicide
4379,time travel
3035,roman
2570,rock star
1576,technology
10873,school
83,saving the world
521,washington d.c.
789,muslim
460,free love
5091,kiss
3290,laser
292,berlin wall
393,civil war
240,underdog
1280,lasergun
802,regret
642,robbery
1016,wyoming
380,brother brother relationship
3376,satellite
242,new york
5696,grunge
1453,amnesia
934,judge
10183,independent film
187056,woman director
10183,independent film
1691,dance
378,prison
1014,loss of lover
9663,sequel
3358,haunted house
293,female nudity
1003,photographer
516,child abuse
3358,haunted house
236,suicide
131,italy
2041,island
818,based on novel
242,new york
2589,pet shop
1415,small town
966,beach
11268,psychologist
13005,doctor
596,adultery
952,lightning
1909,coffin
5340,investigation
378,prison
351,poison
818,based on novel
1366,shotgun
1468,child murderer
272,transylvania
110,venice
345,monk
642,robbery
380,brother brother relationship
572,sex
240,underdog
996,expensive restaurant
503,federation
3344,letter
10183,independent film
65,holiday
1468,child murderer
290,angel
437,painter
616,witch
212,london england
9748,revenge
